"","Species","Year","Week","Week.Sum","Year.Sum","fYear","Prop.Year","fSpecies"
"77","American Eel",2001,11,0,0,"2001",0,"American Eel"
"78","American Eel",2001,12,0,0,"2001",0,"American Eel"
"79","American Eel",2001,13,0,0,"2001",0,"American Eel"
"80","American Eel",2001,14,0,0,"2001",0,"American Eel"
"81","American Eel",2001,15,0,0,"2001",0,"American Eel"
"82","American Eel",2001,16,0,0,"2001",0,"American Eel"
"83","American Eel",2001,17,0,0,"2001",0,"American Eel"
"84","American Eel",2001,18,0,0,"2001",0,"American Eel"
"85","American Eel",2001,19,0,0,"2001",0,"American Eel"
"86","American Eel",2001,20,0,0,"2001",0,"American Eel"
"87","American Eel",2001,21,0,0,"2001",0,"American Eel"
"88","American Eel",2001,22,0,0,"2001",0,"American Eel"
"89","American Eel",2001,23,0,0,"2001",0,"American Eel"
"90","American Eel",2001,24,0,0,"2001",0,"American Eel"
"91","American Eel",2001,25,0,0,"2001",0,"American Eel"
"92","American Eel",2001,26,0,0,"2001",0,"American Eel"
"93","American Eel",2001,27,0,0,"2001",0,"American Eel"
"94","American Eel",2001,28,0,0,"2001",0,"American Eel"
"95","American Eel",2001,29,0,0,"2001",0,"American Eel"
"96","American Eel",2001,30,0,0,"2001",0,"American Eel"
"97","American Eel",2001,31,0,0,"2001",0,"American Eel"
"98","American Eel",2001,32,0,0,"2001",0,"American Eel"
"99","American Eel",2001,33,0,0,"2001",0,"American Eel"
"100","American Eel",2001,34,0,0,"2001",0,"American Eel"
"101","American Eel",2001,35,0,0,"2001",0,"American Eel"
"102","American Eel",2002,10,0,0,"2002",0,"American Eel"
"103","American Eel",2002,11,0,0,"2002",0,"American Eel"
"104","American Eel",2002,12,0,0,"2002",0,"American Eel"
"105","American Eel",2002,13,0,0,"2002",0,"American Eel"
"106","American Eel",2002,14,0,0,"2002",0,"American Eel"
"107","American Eel",2002,15,0,0,"2002",0,"American Eel"
"108","American Eel",2002,16,0,0,"2002",0,"American Eel"
"109","American Eel",2002,17,0,0,"2002",0,"American Eel"
"110","American Eel",2002,18,0,0,"2002",0,"American Eel"
"111","American Eel",2002,19,0,0,"2002",0,"American Eel"
"112","American Eel",2002,20,0,0,"2002",0,"American Eel"
"113","American Eel",2002,21,0,0,"2002",0,"American Eel"
"114","American Eel",2002,22,0,0,"2002",0,"American Eel"
"115","American Eel",2002,23,0,0,"2002",0,"American Eel"
"116","American Eel",2002,24,0,0,"2002",0,"American Eel"
"117","American Eel",2002,25,0,0,"2002",0,"American Eel"
"118","American Eel",2002,26,0,0,"2002",0,"American Eel"
"119","American Eel",2002,27,0,0,"2002",0,"American Eel"
"120","American Eel",2002,28,0,0,"2002",0,"American Eel"
"121","American Eel",2002,29,0,0,"2002",0,"American Eel"
"122","American Eel",2002,30,0,0,"2002",0,"American Eel"
"123","American Eel",2002,31,0,0,"2002",0,"American Eel"
"124","American Eel",2002,32,0,0,"2002",0,"American Eel"
"125","American Eel",2002,33,0,0,"2002",0,"American Eel"
"126","American Eel",2002,34,0,0,"2002",0,"American Eel"
"127","American Eel",2002,35,0,0,"2002",0,"American Eel"
"128","American Eel",2003,12,0,0,"2003",0,"American Eel"
"129","American Eel",2003,13,0,0,"2003",0,"American Eel"
"130","American Eel",2003,14,0,0,"2003",0,"American Eel"
"131","American Eel",2003,15,0,0,"2003",0,"American Eel"
"132","American Eel",2003,16,0,0,"2003",0,"American Eel"
"133","American Eel",2003,17,0,0,"2003",0,"American Eel"
"134","American Eel",2003,18,0,0,"2003",0,"American Eel"
"135","American Eel",2003,19,0,0,"2003",0,"American Eel"
"136","American Eel",2003,20,0,0,"2003",0,"American Eel"
"137","American Eel",2003,21,0,0,"2003",0,"American Eel"
"138","American Eel",2003,22,0,0,"2003",0,"American Eel"
"139","American Eel",2003,23,0,0,"2003",0,"American Eel"
"140","American Eel",2003,24,0,0,"2003",0,"American Eel"
"141","American Eel",2003,25,0,0,"2003",0,"American Eel"
"142","American Eel",2003,26,0,0,"2003",0,"American Eel"
"143","American Eel",2003,27,0,0,"2003",0,"American Eel"
"144","American Eel",2003,28,0,0,"2003",0,"American Eel"
"145","American Eel",2003,29,0,0,"2003",0,"American Eel"
"146","American Eel",2003,30,0,0,"2003",0,"American Eel"
"147","American Eel",2003,31,0,0,"2003",0,"American Eel"
"148","American Eel",2003,32,0,0,"2003",0,"American Eel"
"149","American Eel",2003,33,0,0,"2003",0,"American Eel"
"150","American Eel",2003,34,0,0,"2003",0,"American Eel"
"151","American Eel",2003,35,0,0,"2003",0,"American Eel"
"152","American Eel",2004,12,0,0,"2004",0,"American Eel"
"153","American Eel",2004,13,0,0,"2004",0,"American Eel"
"154","American Eel",2004,14,0,0,"2004",0,"American Eel"
"155","American Eel",2004,15,0,0,"2004",0,"American Eel"
"156","American Eel",2004,16,0,0,"2004",0,"American Eel"
"157","American Eel",2004,17,0,0,"2004",0,"American Eel"
"158","American Eel",2004,18,0,0,"2004",0,"American Eel"
"159","American Eel",2004,19,0,0,"2004",0,"American Eel"
"160","American Eel",2004,20,0,0,"2004",0,"American Eel"
"161","American Eel",2004,21,0,0,"2004",0,"American Eel"
"162","American Eel",2004,22,0,0,"2004",0,"American Eel"
"163","American Eel",2004,23,0,0,"2004",0,"American Eel"
"164","American Eel",2004,24,0,0,"2004",0,"American Eel"
"165","American Eel",2004,25,0,0,"2004",0,"American Eel"
"166","American Eel",2004,26,0,0,"2004",0,"American Eel"
"167","American Eel",2004,27,0,0,"2004",0,"American Eel"
"168","American Eel",2004,28,0,0,"2004",0,"American Eel"
"169","American Eel",2004,29,0,0,"2004",0,"American Eel"
"170","American Eel",2004,30,0,0,"2004",0,"American Eel"
"171","American Eel",2004,31,0,0,"2004",0,"American Eel"
"172","American Eel",2004,32,0,0,"2004",0,"American Eel"
"173","American Eel",2004,33,0,0,"2004",0,"American Eel"
"174","American Eel",2004,34,0,0,"2004",0,"American Eel"
"175","American Eel",2004,35,0,0,"2004",0,"American Eel"
"176","American Eel",2005,24,0,0,"2005",0,"American Eel"
"177","American Eel",2005,25,0,0,"2005",0,"American Eel"
"178","American Eel",2005,26,0,0,"2005",0,"American Eel"
"179","American Eel",2005,27,0,0,"2005",0,"American Eel"
"180","American Eel",2005,28,0,0,"2005",0,"American Eel"
"181","American Eel",2005,29,0,0,"2005",0,"American Eel"
"182","American Eel",2005,30,0,0,"2005",0,"American Eel"
"183","American Eel",2005,31,0,0,"2005",0,"American Eel"
"184","American Eel",2005,32,0,0,"2005",0,"American Eel"
"185","American Eel",2005,33,0,0,"2005",0,"American Eel"
"186","American Eel",2005,34,0,0,"2005",0,"American Eel"
"187","American Eel",2005,35,0,0,"2005",0,"American Eel"
"188","American Eel",2005,20,0,0,"2005",0,"American Eel"
"189","American Eel",2005,12,0,0,"2005",0,"American Eel"
"190","American Eel",2005,21,0,0,"2005",0,"American Eel"
"191","American Eel",2005,13,0,0,"2005",0,"American Eel"
"192","American Eel",2005,22,0,0,"2005",0,"American Eel"
"193","American Eel",2005,14,0,0,"2005",0,"American Eel"
"194","American Eel",2005,15,0,0,"2005",0,"American Eel"
"195","American Eel",2005,16,0,0,"2005",0,"American Eel"
"196","American Eel",2005,17,0,0,"2005",0,"American Eel"
"197","American Eel",2005,18,0,0,"2005",0,"American Eel"
"198","American Eel",2005,19,0,0,"2005",0,"American Eel"
"199","American Eel",2005,23,0,0,"2005",0,"American Eel"
"200","American Eel",2006,34,0,0,"2006",0,"American Eel"
"201","American Eel",2006,35,0,0,"2006",0,"American Eel"
"202","American Eel",2006,11,0,0,"2006",0,"American Eel"
"203","American Eel",2006,12,0,0,"2006",0,"American Eel"
"204","American Eel",2006,13,0,0,"2006",0,"American Eel"
"205","American Eel",2006,14,0,0,"2006",0,"American Eel"
"206","American Eel",2006,15,0,0,"2006",0,"American Eel"
"207","American Eel",2006,16,0,0,"2006",0,"American Eel"
"208","American Eel",2006,17,0,0,"2006",0,"American Eel"
"209","American Eel",2006,18,0,0,"2006",0,"American Eel"
"210","American Eel",2006,19,0,0,"2006",0,"American Eel"
"211","American Eel",2006,20,0,0,"2006",0,"American Eel"
"212","American Eel",2006,21,0,0,"2006",0,"American Eel"
"213","American Eel",2006,22,0,0,"2006",0,"American Eel"
"214","American Eel",2006,23,0,0,"2006",0,"American Eel"
"215","American Eel",2006,24,0,0,"2006",0,"American Eel"
"216","American Eel",2006,25,0,0,"2006",0,"American Eel"
"217","American Eel",2006,26,0,0,"2006",0,"American Eel"
"218","American Eel",2006,27,0,0,"2006",0,"American Eel"
"219","American Eel",2006,28,0,0,"2006",0,"American Eel"
"220","American Eel",2006,29,0,0,"2006",0,"American Eel"
"221","American Eel",2006,30,0,0,"2006",0,"American Eel"
"222","American Eel",2006,31,0,0,"2006",0,"American Eel"
"223","American Eel",2006,32,0,0,"2006",0,"American Eel"
"224","American Eel",2006,33,0,0,"2006",0,"American Eel"
"225","American Eel",2007,16,0,0,"2007",0,"American Eel"
"226","American Eel",2007,17,0,0,"2007",0,"American Eel"
"227","American Eel",2007,18,0,0,"2007",0,"American Eel"
"228","American Eel",2007,12,0,0,"2007",0,"American Eel"
"229","American Eel",2007,13,0,0,"2007",0,"American Eel"
"230","American Eel",2007,14,0,0,"2007",0,"American Eel"
"231","American Eel",2007,15,0,0,"2007",0,"American Eel"
"232","American Eel",2007,19,0,0,"2007",0,"American Eel"
"233","American Eel",2007,20,0,0,"2007",0,"American Eel"
"234","American Eel",2007,21,0,0,"2007",0,"American Eel"
"235","American Eel",2007,22,0,0,"2007",0,"American Eel"
"236","American Eel",2007,23,0,0,"2007",0,"American Eel"
"237","American Eel",2007,24,0,0,"2007",0,"American Eel"
"238","American Eel",2007,25,0,0,"2007",0,"American Eel"
"239","American Eel",2007,26,0,0,"2007",0,"American Eel"
"240","American Eel",2007,27,0,0,"2007",0,"American Eel"
"241","American Eel",2007,28,0,0,"2007",0,"American Eel"
"242","American Eel",2007,29,0,0,"2007",0,"American Eel"
"243","American Eel",2007,30,0,0,"2007",0,"American Eel"
"244","American Eel",2007,31,0,0,"2007",0,"American Eel"
"245","American Eel",2007,32,0,0,"2007",0,"American Eel"
"246","American Eel",2007,33,0,0,"2007",0,"American Eel"
"247","American Eel",2007,34,0,0,"2007",0,"American Eel"
"248","American Eel",2007,35,0,0,"2007",0,"American Eel"
"249","American Eel",2008,23,0,0,"2008",0,"American Eel"
"250","American Eel",2008,24,0,0,"2008",0,"American Eel"
"251","American Eel",2008,26,0,0,"2008",0,"American Eel"
"252","American Eel",2008,27,0,0,"2008",0,"American Eel"
"253","American Eel",2008,28,0,0,"2008",0,"American Eel"
"254","American Eel",2008,20,0,0,"2008",0,"American Eel"
"255","American Eel",2008,21,0,0,"2008",0,"American Eel"
"256","American Eel",2008,22,0,0,"2008",0,"American Eel"
"257","American Eel",2008,25,0,0,"2008",0,"American Eel"
"258","American Eel",2008,19,0,0,"2008",0,"American Eel"
"259","American Eel",2008,29,0,0,"2008",0,"American Eel"
"260","American Eel",2008,30,0,0,"2008",0,"American Eel"
"261","American Eel",2008,13,0,0,"2008",0,"American Eel"
"262","American Eel",2008,31,0,0,"2008",0,"American Eel"
"263","American Eel",2008,14,0,0,"2008",0,"American Eel"
"264","American Eel",2008,32,0,0,"2008",0,"American Eel"
"265","American Eel",2008,15,0,0,"2008",0,"American Eel"
"266","American Eel",2008,33,0,0,"2008",0,"American Eel"
"267","American Eel",2008,16,0,0,"2008",0,"American Eel"
"268","American Eel",2008,34,0,0,"2008",0,"American Eel"
"269","American Eel",2008,17,0,0,"2008",0,"American Eel"
"270","American Eel",2008,35,0,0,"2008",0,"American Eel"
"271","American Eel",2008,18,0,0,"2008",0,"American Eel"
"272","American Eel",2009,35,0,0,"2009",0,"American Eel"
"273","American Eel",2009,11,0,0,"2009",0,"American Eel"
"274","American Eel",2009,12,0,0,"2009",0,"American Eel"
"275","American Eel",2009,30,0,0,"2009",0,"American Eel"
"276","American Eel",2009,13,0,0,"2009",0,"American Eel"
"277","American Eel",2009,31,0,0,"2009",0,"American Eel"
"278","American Eel",2009,14,0,0,"2009",0,"American Eel"
"279","American Eel",2009,32,0,0,"2009",0,"American Eel"
"280","American Eel",2009,15,0,0,"2009",0,"American Eel"
"281","American Eel",2009,33,0,0,"2009",0,"American Eel"
"282","American Eel",2009,16,0,0,"2009",0,"American Eel"
"283","American Eel",2009,17,0,0,"2009",0,"American Eel"
"284","American Eel",2009,18,0,0,"2009",0,"American Eel"
"285","American Eel",2009,19,0,0,"2009",0,"American Eel"
"286","American Eel",2009,20,0,0,"2009",0,"American Eel"
"287","American Eel",2009,21,0,0,"2009",0,"American Eel"
"288","American Eel",2009,34,0,0,"2009",0,"American Eel"
"289","American Eel",2009,22,0,0,"2009",0,"American Eel"
"290","American Eel",2009,23,0,0,"2009",0,"American Eel"
"291","American Eel",2009,24,0,0,"2009",0,"American Eel"
"292","American Eel",2009,25,0,0,"2009",0,"American Eel"
"293","American Eel",2009,26,0,0,"2009",0,"American Eel"
"294","American Eel",2009,27,0,0,"2009",0,"American Eel"
"295","American Eel",2009,28,0,0,"2009",0,"American Eel"
"296","American Eel",2009,29,0,0,"2009",0,"American Eel"
"297","American Eel",2010,13,0,1,"2010",0,"American Eel"
"298","American Eel",2010,20,0,1,"2010",0,"American Eel"
"299","American Eel",2010,31,0,1,"2010",0,"American Eel"
"300","American Eel",2010,24,0,1,"2010",0,"American Eel"
"301","American Eel",2010,11,0,1,"2010",0,"American Eel"
"302","American Eel",2010,19,0,1,"2010",0,"American Eel"
"303","American Eel",2010,25,0,1,"2010",0,"American Eel"
"304","American Eel",2010,29,0,1,"2010",0,"American Eel"
"305","American Eel",2010,30,0,1,"2010",0,"American Eel"
"306","American Eel",2010,22,0,1,"2010",0,"American Eel"
"307","American Eel",2010,18,1,1,"2010",1,"American Eel"
"308","American Eel",2010,14,0,1,"2010",0,"American Eel"
"309","American Eel",2010,35,0,1,"2010",0,"American Eel"
"310","American Eel",2010,34,0,1,"2010",0,"American Eel"
"311","American Eel",2010,27,0,1,"2010",0,"American Eel"
"312","American Eel",2010,26,0,1,"2010",0,"American Eel"
"313","American Eel",2010,16,0,1,"2010",0,"American Eel"
"314","American Eel",2010,28,0,1,"2010",0,"American Eel"
"315","American Eel",2010,23,0,1,"2010",0,"American Eel"
"316","American Eel",2010,17,0,1,"2010",0,"American Eel"
"317","American Eel",2010,33,0,1,"2010",0,"American Eel"
"318","American Eel",2010,32,0,1,"2010",0,"American Eel"
"319","American Eel",2010,12,0,1,"2010",0,"American Eel"
"320","American Eel",2010,21,0,1,"2010",0,"American Eel"
"321","American Eel",2010,15,0,1,"2010",0,"American Eel"
"322","American Eel",2011,26,0,0,"2011",0,"American Eel"
"323","American Eel",2011,24,0,0,"2011",0,"American Eel"
"324","American Eel",2011,25,0,0,"2011",0,"American Eel"
"325","American Eel",2011,27,0,0,"2011",0,"American Eel"
"326","American Eel",2011,28,0,0,"2011",0,"American Eel"
"327","American Eel",2011,11,0,0,"2011",0,"American Eel"
"328","American Eel",2011,29,0,0,"2011",0,"American Eel"
"329","American Eel",2011,12,0,0,"2011",0,"American Eel"
"330","American Eel",2011,30,0,0,"2011",0,"American Eel"
"331","American Eel",2011,13,0,0,"2011",0,"American Eel"
"332","American Eel",2011,31,0,0,"2011",0,"American Eel"
"333","American Eel",2011,14,0,0,"2011",0,"American Eel"
"334","American Eel",2011,23,0,0,"2011",0,"American Eel"
"335","American Eel",2011,32,0,0,"2011",0,"American Eel"
"336","American Eel",2011,15,0,0,"2011",0,"American Eel"
"337","American Eel",2011,33,0,0,"2011",0,"American Eel"
"338","American Eel",2011,16,0,0,"2011",0,"American Eel"
"339","American Eel",2011,34,0,0,"2011",0,"American Eel"
"340","American Eel",2011,17,0,0,"2011",0,"American Eel"
"341","American Eel",2011,35,0,0,"2011",0,"American Eel"
"342","American Eel",2011,18,0,0,"2011",0,"American Eel"
"343","American Eel",2011,19,0,0,"2011",0,"American Eel"
"344","American Eel",2011,20,0,0,"2011",0,"American Eel"
"345","American Eel",2011,21,0,0,"2011",0,"American Eel"
"346","American Eel",2011,22,0,0,"2011",0,"American Eel"
"347","American Eel",2012,11,0,0,"2012",0,"American Eel"
"348","American Eel",2012,12,0,0,"2012",0,"American Eel"
"349","American Eel",2012,13,0,0,"2012",0,"American Eel"
"350","American Eel",2012,14,0,0,"2012",0,"American Eel"
"351","American Eel",2012,15,0,0,"2012",0,"American Eel"
"352","American Eel",2012,16,0,0,"2012",0,"American Eel"
"353","American Eel",2012,17,0,0,"2012",0,"American Eel"
"354","American Eel",2012,18,0,0,"2012",0,"American Eel"
"355","American Eel",2012,19,0,0,"2012",0,"American Eel"
"356","American Eel",2012,20,0,0,"2012",0,"American Eel"
"357","American Eel",2012,21,0,0,"2012",0,"American Eel"
"358","American Eel",2012,22,0,0,"2012",0,"American Eel"
"359","American Eel",2012,10,0,0,"2012",0,"American Eel"
"360","American Eel",2012,33,0,0,"2012",0,"American Eel"
"361","American Eel",2012,34,0,0,"2012",0,"American Eel"
"362","American Eel",2012,35,0,0,"2012",0,"American Eel"
"363","American Eel",2012,23,0,0,"2012",0,"American Eel"
"364","American Eel",2012,24,0,0,"2012",0,"American Eel"
"365","American Eel",2012,25,0,0,"2012",0,"American Eel"
"366","American Eel",2012,26,0,0,"2012",0,"American Eel"
"367","American Eel",2012,27,0,0,"2012",0,"American Eel"
"368","American Eel",2012,28,0,0,"2012",0,"American Eel"
"369","American Eel",2012,29,0,0,"2012",0,"American Eel"
"370","American Eel",2012,30,0,0,"2012",0,"American Eel"
"371","American Eel",2012,31,0,0,"2012",0,"American Eel"
"372","American Eel",2012,32,0,0,"2012",0,"American Eel"
"373","American Eel",2013,26,0,0,"2013",0,"American Eel"
"374","American Eel",2013,27,0,0,"2013",0,"American Eel"
"375","American Eel",2013,15,0,0,"2013",0,"American Eel"
"376","American Eel",2013,16,0,0,"2013",0,"American Eel"
"377","American Eel",2013,17,0,0,"2013",0,"American Eel"
"378","American Eel",2013,18,0,0,"2013",0,"American Eel"
"379","American Eel",2013,19,0,0,"2013",0,"American Eel"
"380","American Eel",2013,20,0,0,"2013",0,"American Eel"
"381","American Eel",2013,21,0,0,"2013",0,"American Eel"
"382","American Eel",2013,23,0,0,"2013",0,"American Eel"
"383","American Eel",2013,24,0,0,"2013",0,"American Eel"
"384","American Eel",2013,25,0,0,"2013",0,"American Eel"
"385","American Eel",2013,28,0,0,"2013",0,"American Eel"
"386","American Eel",2013,29,0,0,"2013",0,"American Eel"
"387","American Eel",2013,30,0,0,"2013",0,"American Eel"
"388","American Eel",2013,13,0,0,"2013",0,"American Eel"
"389","American Eel",2013,31,0,0,"2013",0,"American Eel"
"390","American Eel",2013,14,0,0,"2013",0,"American Eel"
"391","American Eel",2013,32,0,0,"2013",0,"American Eel"
"392","American Eel",2013,33,0,0,"2013",0,"American Eel"
"393","American Eel",2013,34,0,0,"2013",0,"American Eel"
"394","American Eel",2013,22,0,0,"2013",0,"American Eel"
"395","American Eel",2013,11,0,0,"2013",0,"American Eel"
"396","American Eel",2013,12,0,0,"2013",0,"American Eel"
"397","American Eel",2013,35,0,0,"2013",0,"American Eel"
"398","American Eel",2014,16,0,0,"2014",0,"American Eel"
"399","American Eel",2014,25,0,0,"2014",0,"American Eel"
"400","American Eel",2014,26,0,0,"2014",0,"American Eel"
"401","American Eel",2014,18,0,0,"2014",0,"American Eel"
"402","American Eel",2014,27,0,0,"2014",0,"American Eel"
"403","American Eel",2014,19,0,0,"2014",0,"American Eel"
"404","American Eel",2014,28,0,0,"2014",0,"American Eel"
"405","American Eel",2014,20,0,0,"2014",0,"American Eel"
"406","American Eel",2014,21,0,0,"2014",0,"American Eel"
"407","American Eel",2014,13,0,0,"2014",0,"American Eel"
"408","American Eel",2014,22,0,0,"2014",0,"American Eel"
"409","American Eel",2014,14,0,0,"2014",0,"American Eel"
"410","American Eel",2014,23,0,0,"2014",0,"American Eel"
"411","American Eel",2014,15,0,0,"2014",0,"American Eel"
"412","American Eel",2014,24,0,0,"2014",0,"American Eel"
"413","American Eel",2014,17,0,0,"2014",0,"American Eel"
"414","American Eel",2014,34,0,0,"2014",0,"American Eel"
"415","American Eel",2014,35,0,0,"2014",0,"American Eel"
"416","American Eel",2014,29,0,0,"2014",0,"American Eel"
"417","American Eel",2014,30,0,0,"2014",0,"American Eel"
"418","American Eel",2014,31,0,0,"2014",0,"American Eel"
"419","American Eel",2014,32,0,0,"2014",0,"American Eel"
"420","American Eel",2014,33,0,0,"2014",0,"American Eel"
"421","American Eel",2015,29,0,2,"2015",0,"American Eel"
"422","American Eel",2015,28,0,2,"2015",0,"American Eel"
"423","American Eel",2015,20,0,2,"2015",0,"American Eel"
"424","American Eel",2015,14,0,2,"2015",0,"American Eel"
"425","American Eel",2015,27,0,2,"2015",0,"American Eel"
"426","American Eel",2015,21,0,2,"2015",0,"American Eel"
"427","American Eel",2015,18,0,2,"2015",0,"American Eel"
"428","American Eel",2015,17,0,2,"2015",0,"American Eel"
"429","American Eel",2015,16,0,2,"2015",0,"American Eel"
"430","American Eel",2015,35,0,2,"2015",0,"American Eel"
"431","American Eel",2015,19,0,2,"2015",0,"American Eel"
"432","American Eel",2015,25,0,2,"2015",0,"American Eel"
"433","American Eel",2015,23,0,2,"2015",0,"American Eel"
"434","American Eel",2015,22,0,2,"2015",0,"American Eel"
"435","American Eel",2015,13,0,2,"2015",0,"American Eel"
"436","American Eel",2015,15,0,2,"2015",0,"American Eel"
"437","American Eel",2015,32,0,2,"2015",0,"American Eel"
"438","American Eel",2015,31,0,2,"2015",0,"American Eel"
"439","American Eel",2015,26,1,2,"2015",0.5,"American Eel"
"440","American Eel",2015,33,0,2,"2015",0,"American Eel"
"441","American Eel",2015,30,0,2,"2015",0,"American Eel"
"442","American Eel",2015,24,0,2,"2015",0,"American Eel"
"443","American Eel",2015,34,1,2,"2015",0.5,"American Eel"
"444","American Eel",2016,23,0,0,"2016",0,"American Eel"
"445","American Eel",2016,24,0,0,"2016",0,"American Eel"
"446","American Eel",2016,25,0,0,"2016",0,"American Eel"
"447","American Eel",2016,26,0,0,"2016",0,"American Eel"
"448","American Eel",2016,27,0,0,"2016",0,"American Eel"
"449","American Eel",2016,28,0,0,"2016",0,"American Eel"
"450","American Eel",2016,29,0,0,"2016",0,"American Eel"
"451","American Eel",2016,30,0,0,"2016",0,"American Eel"
"452","American Eel",2016,31,0,0,"2016",0,"American Eel"
"453","American Eel",2016,33,0,0,"2016",0,"American Eel"
"454","American Eel",2016,34,0,0,"2016",0,"American Eel"
"455","American Eel",2016,35,0,0,"2016",0,"American Eel"
"456","American Eel",2016,10,0,0,"2016",0,"American Eel"
"457","American Eel",2016,11,0,0,"2016",0,"American Eel"
"458","American Eel",2016,12,0,0,"2016",0,"American Eel"
"459","American Eel",2016,21,0,0,"2016",0,"American Eel"
"460","American Eel",2016,13,0,0,"2016",0,"American Eel"
"461","American Eel",2016,22,0,0,"2016",0,"American Eel"
"462","American Eel",2016,16,0,0,"2016",0,"American Eel"
"463","American Eel",2016,17,0,0,"2016",0,"American Eel"
